Trade Name,Generic/Proper Name(s),Active Ingredient(s),DICT _ Concern,INPUT,SMILES
levoleucovorin,levoleucovorin,levoleucovorin calcium,no,levoleucovorin calcium,[Ca++].NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1
decitabine,decitabine,decitabine,less,decitabine,NC1=NC(=O)N(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1
tigecycline,tigecycline,tigecycline,no,tigecycline,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(O)=C(NC(=O)CNC(C)(C)C)C=C4N(C)C)C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O
zoledronic acid,zoledronic acid,zoledronic acid,ambiguous,zoledronic acid,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O
tranexamic acid,tranexamic acid,tranexamic acid,ambiguous,tranexamic acid,NC[C@H]1CC[C@@H](CC1)C(O)=O
etoposide,etoposide,etoposide,no,etoposide,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@]1([H])O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O
fosaprepitant,fosaprepitant,fosaprepitant,ambiguous,fosaprepitant,[H]OP(=O)(O[H])N1N=C(N([H])C1=O)C([H])([H])N1C([H])([H])C([H])([H])O[C@]([H])(O[C@@]([H])(C2=C([H])C(=C([H])C(=C2[H])C(F)(F)F)C(F)(F)F)C([H])([H])[H])[C@]1([H])C1=C([H])C([H])=C(F)C([H])=C1[H]
docetaxel,docetaxel anhydrous,docetaxel anhydrous,less,docetaxel anhydrous,[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
dipyridamole,dipyridamole,dipyridamole,most,dipyridamole,OCCN(CCO)C1=NC(N2CCCCC2)=C2N=C(N=C(N3CCCCC3)C2=N1)N(CCO)CCO
nelarabine,nelarabine,nelarabine,no,nelarabine,COC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)C2=NC(N)=N1
idarubicin hydrochloride,idarubicin hydrochloride,idarubicin hydrochloride,most,idarubicin hydrochloride,Cl.C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(C=CC=C1)C3=O)C(C)=O
valproate sodium,valproate sodium,valproate sodium,less,valproate sodium,[Na+].CCCC(CCC)C([O-])=O
strontium chloride sr-89,strontium chloride sr-89,strontium chloride sr-89,no,strontium chloride sr-89,Cl[89Sr]Cl
epoprostenol,epoprostenol,epoprostenol sodium,less,epoprostenol sodium,[Na+].CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2O\C(C[C@H]12)=C/CCCC([O-])=O
sodium acetate,sodium acetate,sodium acetate,ambiguous,sodium acetate,[Na+].CC([O-])=O
acetazolamide,acetazolamide,acetazolamide sodium,no,acetazolamide sodium,[Na+].CC(=O)NC1=NN=C(S1)S([NH-])(=O)=O
flumazenil,flumazenil,flumazenil,most,flumazenil,CCOC(=O)C1=C2CN(C)C(=O)C3=CC(F)=CC=C3N2C=N1
atracurium besylate,atracurium besylate,atracurium besylate,less,atracurium besylate,[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=CC=C(CC2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCC3=CC(OC)=C(OC)C=C3C2CC2=CC=C(OC)C(OC)=C2)C=C1OC
clindamycin in 5 percent dextrose,clindamycin in 5 percent dextrose,clindamycin,ambiguous,clindamycin,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O
doxercalciferol,doxercalciferol,doxercalciferol,ambiguous,doxercalciferol,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)\C=C\[C@H](C)C(C)C
erythromycin lactobionate,erythromycin lactobionate,erythromycin lactobionate,most,erythromycin lactobionate,[H][C@@](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([C@H](O)CO)[C@H](O)[C@@H](O)C(O)=O.[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C
granisetron hydrochloride,granisetron hydrochloride,granisetron hydrochloride,most,granisetron hydrochloride,Cl.CN1N=C(C(=O)N[C@@H]2C[C@@H]3CCC[C@H](C2)N3C)C2=C1C=CC=C2
dantrolene,dantrolene,dantrolene sodium,ambiguous,dantrolene sodium,[Na+].[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)[N-]C1=O
vinorelbine,vinorelbine,vinorelbine tartrate,less,vinorelbine tartrate,O[C@H]([C@@H](O)C(O)=O)C(O)=O.O[C@H]([C@@H](O)C(O)=O)C(O)=O.CCC1=C[C@@H]2C[N@](C1)CC1=C(NC3=C1C=CC=C3)[C@@](C2)(C(=O)OC)C1=CC2=C(C=C1OC)N(C)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC
fludarabine phosphate,fludarabine phosphate,fludarabine phosphate,less,fludarabine phosphate,NC1=NC(F)=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
melphalan,melphalan hydrochloride,melphalan hydrochloride,ambiguous,melphalan hydrochloride,Cl.N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
dactinomycin,dactinomycin,dactinomycin,no,dactinomycin,[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C
dobutamine,dobutamine,dobutamine hydrochloride,less,dobutamine hydrochloride,Cl.CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1
indomethacin,indomethacin,indomethacin sodium,less,indomethacin sodium,[Na+].COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC([O-])=O
oxaliplatin,oxaliplatin,oxaliplatin,most,oxaliplatin,O=C1O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC1=O
irinotecan hydrochloride,irinotecan hydrochloride,irinotecan hydrochloride,less,irinotecan hydrochloride,Cl.CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12
ceftriaxone,ceftriaxone,ceftriaxone sodium,no,ceftriaxone sodium,O.O.O.O.O.O.O.[Na+].[Na+].[Na+].[Na+].[H][C@]12SCC(CSC3=NC(=O)C(=O)[N-]N3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C([O-])=O.[H][C@]12SCC(CSC3=NC(=O)C(=O)[N-]N3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C([O-])=O
hypaque sodium,diatrizoate sodium,diatrizoate sodium,most,diatrizoate sodium,[Na+].CC(=O)NC1=C(I)C(C([O-])=O)=C(I)C(NC(C)=O)=C1I
neutrexin,trimetrexate glucuronate,trimetrexate glucuronate,no,trimetrexate glucuronate,O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O.COC1=CC(NCC2=C(C)C3=C(N)N=C(N)N=C3C=C2)=CC(OC)=C1OC
radiogenix system,technetium tc 99m generator,technetium tc-99m sodium pertechnetate,no,technetium tc-99m sodium pertechnetate,[Na+].O=[99Tc-](=O)(=O)=O
temodar,temozolomide,temozolomide,no,temozolomide,CN1N=NC2=C(N=CN2C1=O)C(N)=O
briviact,brivaracetam,brivaracetam,no,brivaracetam,CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1
sivextro,tedizolid phosphate,tedizolid phosphate,less,tedizolid phosphate,CN1N=NC(=N1)C1=NC=C(C=C1)C1=C(F)C=C(C=C1)N1C[C@H](COP(O)(O)=O)OC1=O
baxdela,delafloxacin meglumine,delafloxacin meglumine,less,delafloxacin meglumine,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.NC1=NC(N2C=C(C(O)=O)C(=O)C3=CC(F)=C(N4CC(O)C4)C(Cl)=C23)=C(F)C=C1F
uptravi; uptravi titration pack,selexipag,selexipag,no,selexipag,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)C1=NC(C2=CC=CC=C2)=C(N=C1)C1=CC=CC=C1
vimpat,lacosamide,lacosamide,most,lacosamide,COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1
prevymis,letermovir,letermovir,less,letermovir,COC1=CC=CC(=C1)N1CCN(CC1)C1=NC2=C(C=CC=C2F)[C@H](CC(O)=O)N1C1=C(OC)C=CC(=C1)C(F)(F)F
nuzyra,omadacycline,omadacycline,less,omadacycline,[H][C@@]12CC3=C(C=C(CNCC(C)(C)C)C(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2)N(C)C
trovan,trovafloxacin mesylate,trovafloxacin mesylate,most,trovafloxacin mesylate,CS(O)(=O)=O.[H][C@@]12CN(C[C@]1([H])[C@H]2N)C1=C(F)C=C2C(=O)C(=CN(C3=CC=C(F)C=C3F)C2=N1)C(O)=O
kit for the prepartion of technetium tc99m sulfur colloid,technetium tc 99m sulfur colloid,technetium tc-99m sulfur colloid,less,technetium tc-99m sulfur colloid,[S]
velcade,bortezomib,bortezomib,most,bortezomib,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=NC=CN=C1)B(O)O
azacitidine,azacitidine,azacitidine,less,azacitidine,NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
rimso-50,dimethyl sulfoxide,dimethyl sulfoxide,no,dimethyl sulfoxide,CS(C)=O
cysview,hexaminolevulinate hydrochloride,hexaminolevulinate hydrochloride,no,hexaminolevulinate hydrochloride,Cl.CCCCCCOC(=O)CCC(=O)CN
cystografin dilute,diatrizoate meglumine,diatrizoate meglumine,no,diatrizoate meglumine,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I
valstar,valrubicin,valrubicin,no,valrubicin,[H][C@@]1(C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O1)O[C@H]1C[C@@](O)(CC2=C1C(O)=C1C(=O)C3=C(C=CC=C3OC)C(=O)C1=C2O)C(=O)COC(=O)CCCC
cresemba,isavuconazonium sulfate,isavuconazonium sulfate,less,isavuconazonium sulfate,OS([O-])(=O)=O.CNCC(=O)OCC1=C(N=CC=C1)N(C)C(=O)OC(C)[N+]1=CN(CC(O)([C@@H](C)C2=NC(=CS2)C2=CC=C(C=C2)C#N)C2=C(F)C=CC(F)=C2)N=C1
aptivus,tipranavir,tipranavir,no,tipranavir,CCC[C@@]1(CCC2=CC=CC=C2)CC(O)=C([C@H](CC)C2=CC=CC(NS(=O)(=O)C3=CC=C(C=N3)C(F)(F)F)=C2)C(=O)O1
metopirone,metyrapone,metyrapone,less,metyrapone,CC(C)(C(=O)C1=CN=CC=C1)C1=CN=CC=C1
ravicti,glycerol phenylbutyrate,glycerol phenylbutyrate,no,glycerol phenylbutyrate,O=C(CCCC1=CC=CC=C1)OCC(COC(=O)CCCC1=CC=CC=C1)OC(=O)CCCC1=CC=CC=C1
opsumit,macitentan,macitentan,less,macitentan,CCCNS(=O)(=O)NC1=C(C(OCCOC2=NC=C(Br)C=N2)=NC=N1)C1=CC=C(Br)C=C1
onglyza,saxagliptin,saxagliptin hydrochloride,most,saxagliptin hydrochloride,Cl.N[C@H](C(=O)N1[C@H]2C[C@H]2C[C@H]1C#N)C12CC3CC(CC(O)(C3)C1)C2
dificid; dificid,fidaxomicin,fidaxomicin,no,fidaxomicin,[H][C@@]1(O[C@@H]2[C@@H](CC)\C=C(C)\[C@@H](O)C\C=C\C=C(CO[C@@H]3O[C@H](C)[C@@H](OC(=O)C4=C(CC)C(Cl)=C(O)C(Cl)=C4O)[C@H](O)[C@@H]3OC)\C(=O)O[C@@H](C\C=C(/C)\C=C2/C)[C@@H](C)O)OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]1O
wakix,pitolisant hydrochloride,pitolisant hydrochloride,most,pitolisant hydrochloride,Cl.ClC1=CC=C(CCCOCCCN2CCCCC2)C=C1
xadago,safinamide mesylate,safinamide mesylate,less,safinamide mesylate,CS(O)(=O)=O.C[C@H](NCC1=CC=C(OCC2=CC=CC(F)=C2)C=C1)C(N)=O
turalio,pexidartinib,pexidartinib hydrochloride,less,pexidartinib hydrochloride,Cl.FC(F)(F)C1=NC=C(CNC2=CC=C(CC3=CNC4=C3C=C(Cl)C=N4)C=N2)C=C1
caprelsa,vandetanib,vandetanib,most,vandetanib,COC1=CC2=C(NC3=CC=C(Br)C=C3F)N=CN=C2C=C1OCC1CCN(C)CC1
zydelig,idelalisib,idelalisib,no,idelalisib,CC[C@H](NC1=NC=NC2=C1N=CN2)C1=NC2=CC=CC(F)=C2C(=O)N1C1=CC=CC=C1
benznidazole,benznidazole,benznidazole,no,benznidazole,[O-][N+](=O)C1=NC=CN1CC(=O)NCC1=CC=CC=C1
dipentum,olsalazine sodium,olsalazine sodium,less,olsalazine sodium,[Na+].[Na+].OC1=CC=C(C=C1C([O-])=O)N=NC1=CC=C(O)C(=C1)C([O-])=O
pemazyre,pemigatinib,pemigatinib,ambiguous,pemigatinib,CCN1C(=O)N(CC2=C1C1=C(NC(CN3CCOCC3)=C1)N=C2)C1=C(F)C(OC)=CC(OC)=C1F
isturisa,osilodrostat,osilodrostat phosphate,most,osilodrostat phosphate,OP(O)(O)=O.[H][C@@]1(CCC2=CN=CN12)C1=C(F)C=C(C=C1)C#N
prograf,tacrolimus,anhydrous tacrolimus,less,anhydrous tacrolimus,[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@H](C)[C@@H](O)CC(=O)[C@H](CC=C)\C=C(C)\C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@@H](O)[C@@H](C1)OC
ongentys,opicapone,opicapone,less,opicapone,CC1=C(Cl)C(C)=[N+]([O-])C(Cl)=C1C1=NOC(=N1)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O
priftin,rifapentine,rifapentine,less,rifapentine,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(CC1)C1CCCC1)=C2O
matulane,procarbazine hydrochloride,procarbazine hydrochloride,less,procarbazine hydrochloride,Cl.CNNCC1=CC=C(C=C1)C(=O)NC(C)C
factive,gemifloxacin mesylate,gemifloxacin mesylate,most,gemifloxacin mesylate,CS(O)(=O)=O.CO\N=C1/CN(CC1CN)C1=NC2=C(C=C1F)C(=O)C(=CN2C1CC1)C(O)=O
juxtapid,lomitapide mesylate,lomitapide mesylate,less,lomitapide mesylate,CS(O)(=O)=O.FC(F)(F)CNC(=O)C1(CCCCN2CCC(CC2)NC(=O)C2=CC=CC=C2C2=CC=C(C=C2)C(F)(F)F)C2=CC=CC=C2C2=CC=CC=C12
dibenzyline,phenoxybenzamine hydrochloride,phenoxybenzamine hydrochloride,ambiguous,phenoxybenzamine hydrochloride,Cl.CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1
nubeqa,darolutamide,darolutamide,less,darolutamide,C[C@@H](CN1C=CC(=N1)C1=CC=C(C#N)C(Cl)=C1)NC(=O)C1=NNC(=C1)C(C)O
lynparza,olaparib,olaparib,no,olaparib,FC1=C(C=C(CC2=NNC(=O)C3=CC=CC=C23)C=C1)C(=O)N1CCN(CC1)C(=O)C1CC1
sovaldi,sofosbuvir,sofosbuvir,ambiguous,sofosbuvir,[H][C@]1(O[C@H](CO[P@@](=O)(N[C@@H](C)C(=O)OC(C)C)OC2=CC=CC=C2)[C@@H](O)[C@@]1(C)F)N1C=CC(=O)NC1=O
edarbi,azilsartan kamedoxomil,azilsartan kamedoxomil,ambiguous,azilsartan kamedoxomil,[K+].CCOC1=NC2=CC=CC(C(=O)OCC3=C(C)OC(=O)O3)=C2N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NOC(=O)[N-]1
pranactin-citric,urea c-13,urea c-13,no,urea c-13,N[13C](O)=N
odomzo,sonidegib,sonidegib phosphate,no,sonidegib phosphate,OP(O)(O)=O.OP(O)(O)=O.C[C@H]1CN(C[C@@H](C)O1)C1=NC=C(NC(=O)C2=CC=CC(=C2C)C2=CC=C(OC(F)(F)F)C=C2)C=C1
keveyis,dichlorphenamide,dichlorphenamide,less,dichlorphenamide,NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O
fanapt,iloperidone,iloperidone,most,iloperidone,COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O
livmarli,maralixibat chloride,maralixibat chloride,no,maralixibat chloride,[Cl-].CCCCC1(CCCC)CS(=O)(=O)C2=CC=C(C=C2[C@H]([C@H]1O)C1=CC=C(OCC2=CC=C(C[N+]34CCN(CC3)CC4)C=C2)C=C1)N(C)C
lucemyra,lofexidine hydrochloride,lofexidine hydrochloride,most,lofexidine hydrochloride,Cl.CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1
symproic,naldemedine,naldemedine tosylate,no,naldemedine tosylate,CC1=CC=C(C=C1)S(O)(=O)=O.CC(C)(NC(=O)C1=C(O)[C@@H]2OC3=C(O)C=CC4=C3[C@@]22CCN(CC3CC3)[C@H](C4)[C@]2(O)C1)C1=NC(=NO1)C1=CC=CC=C1
otezla,apremilast,apremilast,no,apremilast,CCOC1=C(OC)C=CC(=C1)[C@@H](CS(C)(=O)=O)N1C(=O)C2=CC=CC(NC(C)=O)=C2C1=O
invirase,saquinavir mesylate,saquinavir mesylate,most,saquinavir mesylate,CS(O)(=O)=O.CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=NC2=C(C=CC=C2)C=C1
inrebic,fedratinib hydrochloride,fedratinib hydrochloride,most,fedratinib hydrochloride,O.Cl.Cl.CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1NC1=CC(=CC=C1)S(=O)(=O)NC(C)(C)C
idhifa,enasidenib mesylate,enasidenib mesylate,most,enasidenib mesylate,CS(O)(=O)=O.CC(C)(O)CNC1=NC(NC2=CC=NC(=C2)C(F)(F)F)=NC(=N1)C1=CC=CC(=N1)C(F)(F)F
viibryd,vilazodone hydrochloride,vilazodone hydrochloride,less,vilazodone hydrochloride,Cl.OC(=N)C1=CC2=CC(=CC=C2O1)N1CCN(CCCCC2=CNC3=C2C=C(C=C3)C#N)CC1
hepsera,adefovir dipivoxil,adefovir dipivoxil,no,adefovir dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C
anzemet,dolasetron mesylate,dolasetron mesylate,most,dolasetron mesylate,CS(O)(=O)=O.[H][C@]12C[C@@H](C[C@]3([H])CC(C1)C(=O)CN23)OC(=O)C1=CNC2=C1C=CC=C2
tabrecta,capmatinib,capmatinib,no,capmatinib,CNC(=O)C1=C(F)C=C(C=C1)C1=NN2C(CC3=CC4=C(C=C3)N=CC=C4)=CN=C2N=C1
januvia,sitagliptin,sitagliptin phosphate,most,sitagliptin phosphate,OP(O)(O)=O.N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=CC(F)=C(F)C=C1F
corlanor,ivabradine,ivabradine hydrochloride,most,ivabradine hydrochloride,Cl.COC1=C(OC)C=C2[C@@H](CN(C)CCCN3CCC4=CC(OC)=C(OC)C=C4CC3=O)CC2=C1
radiogardase,prussian blue insoluble capsules,ferric ferrocyanide,no,ferric ferrocyanide,[Fe++].[Fe++].[Fe++].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N
trintellix,vortioxetine,vortioxetine hydrobromide,ambiguous,vortioxetine hydrobromide,Br.CC1=CC(C)=C(SC2=CC=CC=C2N2CCNCC2)C=C1
tavalisse,fostamatinib,fostamatinib,most,fostamatinib,COC1=CC(NC2=NC=C(F)C(NC3=NC4=C(OC(C)(C)C(=O)N4COP(O)(O)=O)C=C3)=N2)=CC(OC)=C1OC
alinia,nitazoxanide,nitazoxanide,no,nitazoxanide,CC(=O)OC1=C(C=CC=C1)C(=O)NC1=NC=C(S1)[N+]([O-])=O
vyvanse,lisdexamfetamine dimesylate,lisdexamfetamine dimesylate,most,lisdexamfetamine dimesylate,CS(O)(=O)=O.CS(O)(=O)=O.C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN
hetlioz; hetlioz lq,tasimelteon,tasimelteon,no,tasimelteon,CCC(=O)NC[C@@H]1C[C@H]1C1=C2CCOC2=CC=C1
pradaxa,dabigatran etexilate mesylate,dabigatran etexilate mesylate,most,dabigatran etexilate mesylate,CS(O)(=O)=O.CCCCCCOC(=O)\N=C(/N)C1=CC=C(NCC2=NC3=C(C=CC(=C3)C(=O)N(CCC(=O)OCC)C3=CC=CC=N3)N2C)C=C1
iressa,gefitinib,gefitinib,no,gefitinib,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
mycapssa,octreotide,octreotide,most,octreotide,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O
orenitram,treprostinil,treprostinil,ambiguous,treprostinil,[H]O[C@@H](CCCCC)CC[C@H]1[C@H](O[H])C[C@]2([H])CC3=C(C[C@]12[H])C=CC=C3OCC(=O)O[H]
adempas,riociguat,riociguat,less,riociguat,COC(=O)N(C)C1=C(N)N=C(N=C1N)C1=NN(CC2=CC=CC=C2F)C2=C1C=CC=N2
mayzent,siponimod,siponimod,less,siponimod,CCC1=C(CN2CC(C2)C(O)=O)C=CC(=C1)C(\C)=N\OCC1=CC(=C(C=C1)C1CCCCC1)C(F)(F)F
sapropterin dihydrochloride,sapropterin dihydrochloride,sapropterin dihydrochloride,less,sapropterin dihydrochloride,Cl.Cl.C[C@H](O)[C@H](O)[C@H]1CNC2=C(N1)C(=O)N=C(N)N2
sprycel,dasatinib,dasatinib,most,dasatinib,O.CC1=NC(=CC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=N1)N1CCN(CCO)CC1
solosec,secnidazole,secnidazole,no,secnidazole,CC(O)CN1C(C)=NC=C1[N+]([O-])=O
durlaza,acetylsalicylic acid,aspirin,no,aspirin,CC(=O)OC1=C(C=CC=C1)C(O)=O
diacomit,stiripentol,stiripentol,no,stiripentol,CC(C)(C)C(O)C=CC1=CC2=C(OCO2)C=C1
procysbi,cysteamine bitartrate,cysteamine bitartrate,ambiguous,cysteamine bitartrate,NCCS.O[C@H]([C@@H](O)C(O)=O)C(O)=O
synthroid,levothyroxine sodium,levothyroxine,less,levothyroxine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
tibsovo,ivosidenib,ivosidenib,most,ivosidenib,FC1=CC(=CN=C1)N([C@H](C(=O)NC1CC(F)(F)C1)C1=CC=CC=C1Cl)C(=O)[C@@H]1CCC(=O)N1C1=CC(=CC=N1)C#N
livtencity,maribavir,maribavir,no,maribavir,CC(C)NC1=NC2=CC(Cl)=C(Cl)C=C2N1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O
alecensa,alectinib hydrochloride,alectinib hydrochloride,less,alectinib hydrochloride,Cl.CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C3=C(N1)C=C(C=C3)C#N)C2=O
xcopri; xcopri maintenance pack; xcopri titration pack,cenobamate,cenobamate,most,cenobamate,NC(=O)O[C@@H](CN1N=CN=N1)C1=CC=CC=C1Cl
cevimeline,cevimeline,cevimeline hydrochloride,less,cevimeline hydrochloride,Cl.C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1
rayaldee,calcifediol,calcifediol,less,calcifediol,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCCC(C)(C)O
tetracycline hydrochloride,tetracycline hydrochloride,tetracycline hydrochloride,ambiguous,tetracycline hydrochloride,Cl.CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O
austedo; austedo,deutetrabenazine,deutetrabenazine,most,deutetrabenazine,[H][C@]12CC(=O)[C@H](CC(C)C)CN1CCC1=C2C=C(OC([2H])([2H])[2H])C(OC([2H])([2H])[2H])=C1
sirturo,bedaquiline fumarate,bedaquiline fumarate,most,bedaquiline fumarate,[H]\C(=C(\[H])C(O)=O)C(O)=O.COC1=NC2=C(C=C(Br)C=C2)C=C1[C@@H](C1=CC=CC=C1)[C@@](O)(CCN(C)C)C1=CC=CC2=C1C=CC=C2
lorbrena,lorlatinib,lorlatinib,most,lorlatinib,C[C@H]1OC2=C(N)N=CC(=C2)C2=C(C#N)N(C)N=C2CN(C)C(=O)C2=CC=C(F)C=C12
qelbree,viloxazine hydrochloride,viloxazine hydrochloride,less,viloxazine hydrochloride,Cl.CCOC1=C(OCC2CNCCO2)C=CC=C1
trecator,ethionamide,ethionamide,no,ethionamide,CCC1=NC=CC(=C1)C(N)=S
xeljanz; xeljanz xr,tofacitinib,tofacitinib citrate,most,tofacitinib citrate,OC(=O)CC(O)(CC(O)=O)C(O)=O.C[C@@H]1CCN(C[C@@H]1N(C)C1=NC=NC2=C1C=CN2)C(=O)CC#N
