INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
Meropenem,Approved Name,DTXSID7045526,Meropenem,[H][C@]1([C@@H](C)O)C(=O)N2C(C(O)=O)=C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)[C@H](C)[C@]12[H]
IBSRELA,Synonym,DTXSID40154016,Tenapanor,[H][C@]1(CN(C)CC2=C1C=C(Cl)C=C2Cl)C1=CC(=CC=C1)S(=O)(=O)NCCOCCOCCNC(=O)NCCCCNC(=O)NCCOCCOCCNS(=O)(=O)C1=CC=CC(=C1)[C@]1([H])CN(C)CC2=C1C=C(Cl)C=C2Cl
Oxytocin,Approved Name,DTXSID8048361,Oxytocin,[H][C@]1(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)[C@@H](C)CC
Miacalcin,Expert Validated Synonym,DTXSID601026667,Salmon calcitonin,[H][C@]1(NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CSSC[C@H](NC1=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N1CCC[C@H]1C(N)=O)[C@@H](C)O
Sovaldi,Synonym,DTXSID701027632,Sofosbuvir,[H][C@]1(O[C@H](CO[P@@](=O)(N[C@@H](C)C(=O)OC(C)C)OC2=CC=CC=C2)[C@@H](O)[C@@]1(C)F)N1C=CC(=O)NC1=O
Lovastatin,Approved Name,DTXSID5020784,Lovastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
INGREZZA,Synonym,DTXSID801026306,Valbenazine,[H][C@]12C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN1CCC1=C2C=C(OC)C(OC)=C1
ICATIBANT,Approved Name,DTXSID20903963,Icatibant,[H][C@]12C[C@H](N(C(=O)[C@H]3CC4=CC=CC=C4CN3C(=O)[C@H](CO)NC(=O)[C@H](CC3=CC=CS3)NC(=O)CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H]3CCCN3C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](N)CCCNC(N)=N)[C@@]1([H])CCCC2)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O
IXEMPRA,Expert Validated Synonym,DTXSID70870252,Ixabepilone,[H][C@]12C[C@H](NC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC[C@@]1(C)O2)C(\C)=C\C1=CSC(C)=N1
Etoposide,Approved Name,DTXSID5023035,Etoposide,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@]1([H])O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O
DALVANCE,Synonym,DTXSID80873214,Dalbavancin,[H][C@]12NC(=O)[C@]([H])(NC(=O)[C@]3([H])NC(=O)[C@@]4([H])NC(=O)[C@]([H])(NC(=O)[C@H](NC)C5=CC(OC6=CC4=C(Cl)C(O)=C6)=C(O)C=C5)C4=CC=C(OC5=CC3=CC(OC3=CC=C(C=C3Cl)[C@H]1O)=C5O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1NC(=O)CCCCCCCCC(C)C)C(O)=O)C=C4)C1=CC=C(O)C(=C1)C1=C(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)C=C(O)C=C1[C@]([H])(NC2=O)C(=O)NCCCN(C)C
Orbactiv,Synonym,DTXSID20897570,Oritavancin,[H][C@]12NC(=O)[C@]([H])(NC(=O)[C@]3([H])NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](NC(=O)[C@@H](CC(C)C)NC)[C@H](O)C4=CC=C(OC5=C(O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@H]6C[C@](C)(NCC7=CC=C(C=C7)C7=CC=C(Cl)C=C7)[C@@H](O)[C@H](C)O6)C(OC6=C(Cl)C=C(C=C6)[C@H]1O[C@H]1C[C@](C)(N)[C@@H](O)[C@H](C)O1)=CC3=C5)C(Cl)=C4)C1=CC(=C(O)C=C1)C1=C(O)C=C(O)C=C1[C@H](NC2=O)C(O)=O
Prograf,Expert Validated Synonym,DTXSID5046354,Tacrolimus,[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@H](C)[C@@H](O)CC(=O)[C@H](CC=C)\C=C(C)\C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@@H](O)[C@@H](C1)OC
Tacrolimus,Approved Name,DTXSID5046354,Tacrolimus,[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@H](C)[C@@H](O)CC(=O)[C@H](CC=C)\C=C(C)\C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@@H](O)[C@@H](C1)OC
ISOSORBIDE MONONITRATE,Synonym from Valid Source,DTXSID9023176,Isosorbide 5-mononitrate,[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O
Isosorbide Dinitrate,Expert Validated Synonym,DTXSID0045832,"Isosorbide 2,5-dinitrate",[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O
Amoxicillin,Approved Name,DTXSID3037044,Amoxicillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O
AMPICILLIN,Approved Name,DTXSID4022602,Ampicillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
Ampicillin,Approved Name,DTXSID4022602,Ampicillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
Pipracil,Expert Validated Synonym,DTXSID2023482,Piperacillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O
Cefadroxil,Approved Name,DTXSID8022749,Cefadroxil,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O
Cefadroxil,Approved Name,DTXSID8022749,Cefadroxil,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O
CEFEPIME,Approved Name,DTXSID70873208,Cefepime,[H][C@]12SCC(C[N+]3(C)CCCC3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C([O-])=O
TAZICEF,Synonym from Valid Source,DTXSID5022770,Ceftazidime,[H][C@]12SCC(C[N+]3=CC=CC=C3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC(C)(C)C(O)=O)\C1=CSC(N)=N1)C([O-])=O
Cefprozil,Approved Name,DTXSID6022767,Cefprozil,[H][C@]12SCC(C=CC)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O
Cefaclor,Approved Name,DTXSID3022748,Cefaclor,[H][C@]12SCC(Cl)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
Ceftriaxone,Approved Name,DTXSID0022773,Ceftriaxone,[H][C@]12SCC(CSC3=NC(=O)C(=O)NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
Cefazolin,Approved Name,DTXSID2022753,Cefazolin,[H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@H]2NC(=O)CN1C=NN=N1)C(O)=O
Gallium,Integrated Source Name - WARNING: Synonym mapped to two or more chemicals,DTXSID8064696,Gallium trihydride,[H][Ga]([H])[H]
PARAPLATIN,Synonym from Valid Source,DTXSID3046742,Carboplatin,[H][N]([H])([H])[Pt++]1([O-]C(=O)C2(CCC2)C(=O)[O-]1)[N]([H])([H])[H]
Nerlynx,Synonym,DTXSID801027861,Neratinib maleate,[H]\C(=C(/[H])C(O)=O)C(O)=O.CCOC1=C(NC(=O)\C=C\CN(C)C)C=C2C(NC3=CC(Cl)=C(OCC4=CC=CC=N4)C=C3)=C(C=NC2=C1)C#N
Cotellic,Synonym,DTXSID301027854,Cobimetinib fumarate,[H]\C(=C(\[H])C(O)=O)C(O)=O.[H][C@]1(CCCCN1)C1(O)CN(C1)C(=O)C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1.[H][C@]1(CCCCN1)C1(O)CN(C1)C(=O)C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1
SIRTURO,Synonym,DTXSID401004837,Bedaquiline fumarate,[H]\C(=C(\[H])C(O)=O)C(O)=O.COC1=NC2=C(C=C(Br)C=C2)C=C1[C@@H](C1=CC=CC=C1)[C@@](O)(CCN(C)C)C1=CC=CC2=C1C=CC=C2
Glucagon,Approved Name,DTXSID101016809,Glucagon,[H]OC[C@H](N([H])C(=O)[C@H](CC1=CN=CN1[H])N([H])[H])C(=O)N([H])[C@@H](CCC(=O)N([H])[H])C(=O)N([H])CC(=O)N([H])[C@@H]([C@@H](C)O[H])C(=O)N([H])[C@@H](CC1=CC=CC=C1)C(=O)N([H])[C@@H]([C@@H](C)O[H])C(=O)N([H])[C@@H](CO[H])C(=O)N([H])[C@@H](CC(=O)O[H])C(=O)N([H])[C@@H](CC1=CC=C(O[H])C=C1)C(=O)N([H])[C@@H](CO[H])C(=O)N([H])[C@@H](CCCCN([H])[H])C(=O)N([H])[C@@H](CC1=CC=C(O[H])C=C1)C(=O)N([H])[C@@H](CC(C)C)C(=O)N([H])[C@@H](CC(=O)O[H])C(=O)N([H])[C@@H](CO[H])C(=O)N([H])[C@@H](CCCN([H])C(=N[H])N([H])[H])C(=O)N([H])[C@@H](CCCN([H])C(=N[H])N([H])[H])C(=O)N([H])[C@@H](C)C(=O)N([H])[C@@H](CCC(=O)N([H])[H])C(=O)N([H])[C@@H](CC(=O)O[H])C(=O)N([H])[C@@H](CC1=CC=CC=C1)C(=O)N([H])[C@@H](C(C)C)C(=O)N([H])[C@@H](CCC(=O)N([H])[H])C(=O)N([H])[C@@H](CC1=CN([H])C2=C1C=CC=C2)C(=O)N([H])[C@@H](CC(C)C)C(=O)N([H])[C@@H](CCSC)C(=O)N([H])[C@@H](CC(=O)N([H])[H])C(=O)N([H])[C@@H]([C@@H](C)O[H])C(=O)O[H]
GAVILAX,Synonym,DTXSID4027862,Polyethylene glycol,"[H]OCCO |lp:1:2,4:2,Sg:n:1,2,3::ht|"
Fosaprepitant,Approved Name,DTXSID801021651,Fosaprepitant,[H]OP(=O)(O[H])N1N=C(N([H])C1=O)C([H])([H])N1C([H])([H])C([H])([H])O[C@]([H])(O[C@@]([H])(C2=C([H])C(=C([H])C(=C2[H])C(F)(F)F)C(F)(F)F)C([H])([H])[H])[C@]1([H])C1=C([H])C([H])=C(F)C([H])=C1[H]
fosaprepitant,Approved Name,DTXSID801021651,Fosaprepitant,[H]OP(=O)(O[H])N1N=C(N([H])C1=O)C([H])([H])N1C([H])([H])C([H])([H])O[C@]([H])(O[C@@]([H])(C2=C([H])C(=C([H])C(=C2[H])C(F)(F)F)C(F)(F)F)C([H])([H])[H])[C@]1([H])C1=C([H])C([H])=C(F)C([H])=C1[H]
Lutathera,Expert Validated Synonym,DTXSID20195927,Lutetium Lu 177 dotatate,[H+].[177Lu+3].[H][C@@]1(CC2=CC=C(O)C=C2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=CC=CC=C23)NC1=O)[C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C([O-])=O)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1
MultiHance,Synonym,DTXSID20925761,Gadobenate dimeglumine,[H+].[H+].[Gd+3].CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CCN(CC([O-])=O)C(COCC1=CC=CC=C1)C([O-])=O
Penicillin G Potassium,Approved Name,DTXSID7045106,Penicillin G potassium,[K+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C([O-])=O
Potassium Citrate,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID8027325,Tripotassium citrate,[K+].[K+].[K+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
Diclofenac Potassium,Synonym,DTXSID30165212,Diclofenac potassium [USAN:USP],[K+].[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
Potassium Acetate,Approved Name,DTXSID7027043,Potassium acetate,[K+].CC([O-])=O
Penicillin V Potassium,Synonym,DTXSID7021102,Penicillin VK,[K+].CC1(C)S[C@@H]2[C@H](NC(=O)COC3=CC=CC=C3)C(=O)N2[C@H]1C([O-])=O
Losartan Potassium,Approved Name,DTXSID3044209,Losartan potassium,[K+].CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=N[N-]1
Lithium,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID5036761,Lithium,[Li]
Lithium,Systematic Name - WARNING: Synonym mapped to two or more chemicals,DTXSID10169612,Lithium cation,[Li+]
Magnesium Sulfate,Systematic Name,DTXSID6042105,Magnesium sulfate anhydrous,[Mg++].[O-]S([O-])(=O)=O
Esomeprazole magnesium,Approved Name,DTXSID5044231,Esomeprazole magnesium,[Mg++].COC1=CC=C2N=C([N-]C2=C1)[S@@](=O)CC1=C(C)C(OC)=C(C)C=N1.COC1=CC=C2N=C([N-]C2=C1)[S@](=O)CC1=C(C)C(OC)=C(C)C=N1
esomeprazole magnesium,Approved Name,DTXSID5044231,Esomeprazole magnesium,[Mg++].COC1=CC=C2N=C([N-]C2=C1)[S@@](=O)CC1=C(C)C(OC)=C(C)C=N1.COC1=CC=C2N=C([N-]C2=C1)[S@](=O)CC1=C(C)C(OC)=C(C)C=N1
MANGANESE,Approved Name,DTXSID2024169,Manganese,[Mn]
Sodium Chloride,Approved Name,DTXSID3021271,Sodium chloride,[Na+].[Cl-]
Ferrlecit,Synonym,DTXSID80187686,Sodium ferric gluconate complex,[Na+].[Fe+3].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O
Cefuroxime sodium,Approved Name,DTXSID201015616,Cefuroxime sodium,[Na+].[H][C@@]1(NC(=O)C(=N/OC)\C2=CC=CO2)C(=O)N2C(C([O-])=O)=C(COC(N)=O)CS[C@]12[H]
Methylprednisolone Sodium Succinate,Approved Name,DTXSID2023303,Methylprednisolone sodium succinate,[Na+].[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCC([O-])=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C
Solu-Cortef,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID2049006,Hydrocortisone 21-hemisuccinate sodium salt,[Na+].[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCC([O-])=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Calcium Disodium Versenate,Synonym from Valid Source,DTXSID2036409,Calcium disodium ethylenediaminetetraacetate,[Na+].[Na+].[Ca++].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
Sodium Nitroprusside,Approved Name,DTXSID2036794,Sodium nitroprusside,[Na+].[Na+].[Fe+3].[N-]=O.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N
Quadramet,Expert Validated Synonym,DTXSID30936282,Samarium Sm 153 lexidronam pentasodium,[Na+].[Na+].[Na+].[Na+].[Na+].[153Sm+3].[O-]P([O-])(=O)CN(CCN(CP([O-])([O-])=O)CP([O-])([O-])=O)CP([O-])([O-])=O
Kynamro,Synonym,DTXSID20212108,Mipomersen sodium,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].COCCO[C@H]1[C@@H](O)[C@H](COP([O-])(=O)S[C@H]2[C@H](COP([O-])(=O)S[C@H]3[C@H](COP([O-])(=O)S[C@H]4[C@H](COP([O-])(=O)S[C@@H]5[C@@H](COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@@H]6[C@@H](COP([O-])(=O)S[C@@H]7[C@@H](COP([O-])(=O)S[C@@H]8[C@@H](COP([O-])(=O)S[C@@H]9[C@@H](COP([O-])(=O)S[C@@H]%10[C@@H](CO)O[C@H]([C@@H]%10OCCOC)N%10C=NC%11=C%10N=C(N)NC%11=O)O[C@H]([C@@H]9OCCOC)N9C=C(C)C(N)=NC9=O)O[C@H]([C@@H]8OCCOC)N8C=C(C)C(N)=NC8=O)O[C@H]([C@@H]7OCCOC)N7C=C(C)C(=O)NC7=O)O[C@H]([C@@H]6OCCOC)N6C=C(C)C(N)=NC6=O)N6C=NC7=C(N)N=CN=C67)N6C=NC7=C6N=C(N)NC7=O)N6C=C(C)C(=O)NC6=O)N6C=C(C)C(N)=NC6=O)N6C=C(C)C(=O)NC6=O)N6C=NC7=C6N=C(N)NC7=O)N6C=C(C)C(N)=NC6=O)N6C=C(C)C(=O)NC6=O)N6C=C(C)C(=O)NC6=O)N6C=C(C)C(N)=NC6=O)O[C@H]([C@@H]5OCCOC)N5C=NC6=C5N=C(N)NC6=O)O[C@@H]([C@H]4OCCOC)N4C=C(C)C(N)=NC4=O)O[C@@H]([C@H]3OCCOC)N3C=NC4=C(N)N=CN=C34)O[C@@H]([C@H]2OCCOC)N2C=C(C)C(N)=NC2=O)O[C@@H]1N1C=C(C)C(N)=NC1=O
Fondaparinux Sodium,Approved Name,DTXSID501027612,Fondaparinux sodium,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].CO[C@H]1O[C@H](COS([O-])(=O)=O)[C@@H](O[C@@H]2O[C@H]([C@@H](O[C@H]3O[C@H](COS([O-])(=O)=O)[C@@H](O[C@@H]4O[C@@H]([C@@H](O[C@H]5O[C@H](COS([O-])(=O)=O)[C@@H](O)[C@H](O)[C@H]5NS([O-])(=O)=O)[C@H](O)[C@H]4O)C([O-])=O)[C@H](OS([O-])(=O)=O)[C@H]3NS([O-])(=O)=O)[C@H](O)[C@H]2OS([O-])(=O)=O)C([O-])=O)[C@H](O)[C@H]1NS([O-])(=O)=O
MEMBRANEBLUE,Synonym,DTXSID4026268,C.I. Direct Blue 14,[Na+].[Na+].[Na+].[Na+].CC1=CC(=CC=C1N=NC1=C(C=C2C=C(C=C(N)C2=C1O)S([O-])(=O)=O)S([O-])(=O)=O)C1=CC(C)=C(C=C1)N=NC1=C(C=C2C=C(C=C(N)C2=C1O)S([O-])(=O)=O)S([O-])(=O)=O
Foscavir,Synonym,DTXSID6023078,Foscarnet trisodium,[Na+].[Na+].[Na+].[O-]C(=O)P([O-])([O-])=O
Sodium Citrate,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID2026363,Trisodium citrate,[Na+].[Na+].[Na+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
Sodium Thiosulfate,Approved Name,DTXSID9042417,Sodium thiosulfate,[Na+].[Na+].[O-]S([S-])(=O)=O
LOKELMA,Synonym,DTXSID601026629,Sodium zirconium cyclosilicate,[Na+].[Na+].[Zr+4].[O-][Si]1([O-])O[Si]([O-])([O-])O[Si]([O-])([O-])O1
Prednisolone Sodium Phosphate,Approved Name,DTXSID2047480,Prednisolone sodium phosphate,[Na+].[Na+].C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)COP([O-])([O-])=O
Pamidronate Disodium,Approved Name,DTXSID5042667,Pamidronate disodium,[Na+].[Na+].NCCC(O)(P(O)([O-])=O)P(O)([O-])=O
Risedronate Sodium,Approved Name,DTXSID1046132,Risedronate sodium,[Na+].[Na+].OC(CC1=CC=CN=C1)(P(O)([O-])=O)P(O)([O-])=O
Risedronate Sodium,Approved Name,DTXSID1046132,Risedronate sodium,[Na+].[Na+].OC(CC1=CC=CN=C1)(P(O)([O-])=O)P(O)([O-])=O
Risedronate Sodium,Approved Name,DTXSID1046132,Risedronate sodium,[Na+].[Na+].OC(CC1=CC=CN=C1)(P(O)([O-])=O)P(O)([O-])=O
Technescan HDP,Expert Validated Synonym,DTXSID80931520,Disodium (hydroxymethylene)diphosphonate,[Na+].[Na+].OC(P(O)([O-])=O)P(O)([O-])=O
Dipentum,Synonym,DTXSID3046796,Olsalazine sodium,[Na+].[Na+].OC1=CC=C(C=C1C([O-])=O)N=NC1=CC=C(O)C(=C1)C([O-])=O
Sodium Phenylbutyrate,Synonym,DTXSID7040948,Sodium 4-phenylbutyrate,[Na+].[O-]C(=O)CCCC1=CC=CC=C1
Sodium Nitrite,Approved Name,DTXSID0020941,Sodium nitrite,[Na+].[O-]N=O
Mesna,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID1020809,Sodium 2-mercaptoethanesulfonate,[Na+].[O-]S(=O)(=O)CCS
Sodium Acetate,Approved Name,DTXSID2027044,Sodium acetate,[Na+].CC([O-])=O
SODIUM ACETATE,Approved Name,DTXSID2027044,Sodium acetate,[Na+].CC([O-])=O
Warfarin Sodium,Expert Validated Synonym,DTXSID7035010,Sodium warfarin,[Na+].CC(=O)CC(C1=CC=CC=C1)C1=C([O-])C2=CC=CC=C2OC1=O
Hypaque Sodium,Synonym,DTXSID7022912,Diatrizoate sodium,[Na+].CC(=O)NC1=C(I)C(C([O-])=O)=C(I)C(NC(C)=O)=C1I
montelukast sodium,Approved Name,DTXSID8046450,Montelukast sodium,[Na+].CC(C)(O)C1=C(CC[C@@H](SCC2(CC([O-])=O)CC2)C2=CC(\C=C\C3=NC4=C(C=CC(Cl)=C4)C=C3)=CC=C2)C=CC=C1
montelukast sodium,Approved Name,DTXSID8046450,Montelukast sodium,[Na+].CC(C)(O)C1=C(CC[C@@H](SCC2(CC([O-])=O)CC2)C2=CC(\C=C\C3=NC4=C(C=CC(Cl)=C4)C=C3)=CC=C2)C=CC=C1
Pravastatin Sodium,Approved Name,DTXSID6047525,Pravastatin sodium,[Na+].CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC([O-])=O)[C@@H]12
IC-Green,Synonym,DTXSID2023145,Indocyanine green,[Na+].CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS([O-])(=O)=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCCCS([O-])(=O)=O)C2=C1C1=CC=CC=C1C=C2
Penicillin G Sodium,Approved Name,DTXSID6040581,Penicillin G sodium,[Na+].CC1(C)S[C@@H]2[C@H](NC(=O)CC3=CC=CC=C3)C(=O)N2[C@H]1C([O-])=O
Dicloxacillin Sodium,Approved Name,DTXSID60187861,Dicloxacillin sodium,[Na+].CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C([O-])=O)C(=NO1)C1=C(Cl)C=CC=C1Cl
Meclofenamate Sodium,Synonym,DTXSID8045567,"Sodium 2-((2,6-dichloro-3-methylphenyl)amino)benzoate",[Na+].CC1=CC=C(Cl)C(NC2=C(C=CC=C2)C([O-])=O)=C1Cl
Brevital Sodium,Synonym,DTXSID6026036,Sodium methohexital,[Na+].CCC#CC(C)C1(CC=C)C(=O)N=C([O-])N(C)C1=O
Fosinopril sodium,Approved Name,DTXSID7046621,Fosinopril sodium,[Na+].CCC(=O)OC(OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C([O-])=O)C1CCCCC1)C(C)C
Pentobarbital Sodium,Approved Name,DTXSID9021712,Pentobarbital sodium,[Na+].CCCC(C)C1(CC)C(=O)NC([O-])=NC1=O
Seconal Sodium,Synonym,DTXSID5022019,"Secobarbital, sodium salt",[Na+].CCCC(C)C1(CC=C)C(=O)NC([O-])=NC1=O
Valproate Sodium,Synonym from Valid Source,DTXSID5037072,Sodium valproate,[Na+].CCCC(CCC)C([O-])=O
divalproex sodium,Synonym from Valid Source,DTXSID70227388,Divalproex sodium [USAN:USP],[Na+].CCCC(CCC)C(O)=O.CCCC(CCC)C([O-])=O
Sotradecol,Synonym,DTXSID3041530,"7-Ethyl-2-methyl-4-undecanolsulfate, sodium salt",[Na+].CCCCC(CC)CCC(CC(C)C)OS([O-])(=O)=O
Sodium Tetradecyl Sulfate,Synonym from Valid Source,DTXSID4042416,Sodium myristyl sulfate,[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O
Isosulfan Blue,Approved Name,DTXSID8057805,Isosulfan blue,[Na+].CCN(CC)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC)C1=C(C=CC(=C1)S([O-])(=O)=O)S([O-])(=O)=O
TOLMETIN SODIUM,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID2091546,Tolmetin sodium salt,[Na+].CN1C(CC([O-])=O)=CC=C1C(=O)C1=CC=C(C)C=C1
PANTOPRAZOLE SODIUM,Approved Name,DTXSID7044215,Pantoprazole sodium,[Na+].COC1=C(OC)C(CS(=O)C2=NC3=C([N-]2)C=CC(OC(F)F)=C3)=NC=C1
