INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
Esomeprazole Sodium,Approved Name,DTXSID90904644,Esomeprazole sodium,[Na+].COC1=CC2=C(C=C1)N=C(N2)[S@@](=O)CC1=C(C)C(OC)=C(C)C=N1
gadoterate meglumine,Approved Name,DTXSID80918856,Gadoterate meglumine,[H+].[Gd+3].CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[O-]C(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1
Adenosine,Approved Name,DTXSID1022558,Adenosine,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
NICARDIPINE HYDROCHLORIDE,Approved Name,DTXSID9046992,Nicardipine hydrochloride,Cl.COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1
ETHACRYNATE SODIUM,Synonym,DTXSID10215320,Ethacrynate sodium [USAN:USP],[Na+].CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC([O-])=O)C=C1
DEXTRAN 40,Searched by Synonym: Found 0 results,N/A,N/A,N/A
AZITHROMYCIN MONOHYDRATE,Approved Name,DTXSID10861063,Azithromycin monohydrate,O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
CIDOFOVIR,Approved Name,DTXSID3043734,Cidofovir,NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1
AMPICILLIN SODIUM,Approved Name,DTXSID60988759,Ampicillin sodium,[Na+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C([O-])=O
LINEZOLID,Approved Name,DTXSID5046489,Linezolid,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1
MICAFUNGIN SODIUM,Searched by Synonym: Found 0 results,N/A,N/A,N/A
NOREPINEPHRINE BITARTRATE,Expert Validated Synonym,DTXSID50148507,(-)-Noradrenaline (+)-bitartrate,O[C@H]([C@@H](O)C(O)=O)C(O)=O.NC[C@H](O)C1=CC=C(O)C(O)=C1
CEFEPIME HYDROCHLORIDE,Expert Validated Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID20274004,Cefepime chloride hydrochloride,Cl.[Cl-].CON=C(C(=O)N[C@H]1[C@H]2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1
CEFEPIME HYDROCHLORIDE,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID7045603,Cefepime chloride hydrochloride hydrate,O.Cl.[Cl-].CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1
ROCURONIUM BROMIDE,Approved Name,DTXSID7023566,Rocuronium bromide,[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1
ENALAPRILAT,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID0048975,Enalapril acid,C[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O
ENALAPRILAT,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID901004963,Enalaprilat dihydrate,O.O.CC(NC(CCC1=CC=CC=C1)C(O)=O)C(=O)C1CCCN1C(O)=O
Busulfan,Approved Name,DTXSID3020910,Busulfan,CS(=O)(=O)OCCCCOS(C)(=O)=O
Calcitriol,Approved Name,DTXSID5022722,Calcitriol,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)CCCC(C)(C)O
MEROPENEM,Approved Name,DTXSID7045526,Meropenem,[H][C@]1([C@@H](C)O)C(=O)N2C(C(O)=O)=C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)[C@H](C)[C@]12[H]
Clindamycin Phosphate,Approved Name,DTXSID1048677,Clindamycin phosphate,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](OP(O)(O)=O)[C@@H](O)[C@H]1O
Sodium Nitroprusside,Approved Name,DTXSID2036794,Sodium nitroprusside,[Na+].[Na+].[Fe+3].[N-]=O.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N
FOSAPREPITANT DIMEGLUMINE,Approved Name,DTXSID50181095,Fosaprepitant dimeglumine,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N(N2)P(O)(O)=O)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
ROMIDEPSIN,Approved Name,DTXSID8048579,Romidepsin,C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)C(NC1=O)C(C)C
FERUMOXYTOL NON-STOICHIOMETRIC MAGNETITE,Searched by Synonym: Found 0 results,N/A,N/A,N/A
Aminophylline Dihydrate,Approved Name,DTXSID50207709,Aminophylline dihydrate,O.O.NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
CARBOPLATIN,Approved Name,DTXSID3046742,Carboplatin,[H][N]([H])([H])[Pt++]1([O-]C(=O)C2(CCC2)C(=O)[O-]1)[N]([H])([H])[H]
GEMCITABINE,Approved Name,DTXSID3040487,Gemcitabine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
AZATHIOPRINE SODIUM,Searched by Synonym: Found 0 results,N/A,N/A,N/A
AMMONIA N-13,Expert Validated Synonym,DTXSID601027603,Ammonia-13N,[13NH3]
Betiatide,Approved Name,DTXSID3048788,Betiatide,OC(=O)CNC(=O)CNC(=O)CNC(=O)CSC(=O)C1=CC=CC=C1
CEFTAZIDIME,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID0045599,Ceftazidime pentahydrate,O.O.O.O.O.[H][C@]12SCC(C[N+]3=CC=CC=C3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC(C)(C)C(O)=O)\C1=CSC(N)=N1)C([O-])=O
CEFTAZIDIME,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID5022770,Ceftazidime,[H][C@]12SCC(C[N+]3=CC=CC=C3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC(C)(C)C(O)=O)\C1=CSC(N)=N1)C([O-])=O
SODIUM FLUORIDE F-18,Expert Validated Synonym,DTXSID001027605,Sodium fluoride-18F,[18F][Na]
Milrinone Lactate,Approved Name,DTXSID40881375,Milrinone lactate,CC(O)C([O-])=O.[H][N+]#CC1=CC(=C(C)NC1=O)C1=CC=NC=C1
NEOSTIGMINE METHYLSULFATE,Approved Name,DTXSID40199003,Neostigmine methylsulfate,COS([O-])(=O)=O.CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C
AMIODARONE HYDROCHLORIDE,Approved Name,DTXSID7037185,Amiodarone hydrochloride,Cl.CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2
TECHNETIUM TC-99M SESTAMIBI,Approved Name,DTXSID00911248,Technetium Tc 99m sestamibi,[99Tc+].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-]
ACYCLOVIR SODIUM,Approved Name,DTXSID90989774,Acyclovir sodium,[Na+].NC1=NC(=O)C2=C(N1)N(COCC[O-])C=N2
PAMIDRONATE DISODIUM,Approved Name,DTXSID5042667,Pamidronate disodium,[Na+].[Na+].NCCC(O)(P(O)([O-])=O)P(O)([O-])=O
CHLORAMPHENICOL SODIUM SUCCINATE,Approved Name,DTXSID2024747,Chloramphenicol sodium succinate,[Na+].O[C@@H]([C@@H](COC(=O)CCC([O-])=O)NC(=O)C(Cl)Cl)C1=CC=C(C=C1)[N+]([O-])=O
ZINC CHLORIDE,Approved Name,DTXSID2035013,Zinc chloride,[Cl-].[Cl-].[Zn++]
Fomepizole,Synonym from Valid Source,DTXSID3040649,4-Methylpyrazole,CC1=CNN=C1
DOXORUBICIN HYDROCHLORIDE,Expert Validated Synonym,DTXSID3030636,Adriamycin hydrochloride,Cl.[H][C@@]1(C[C@H](N)[C@H](O)[C@H](C)O1)O[C@H]1C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(OC)C=CC=C1C3=O)C(=O)CO
CISATRACURIUM BESYLATE,Approved Name,DTXSID10895045,Cisatracurium besylate,[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=C(OC)C=C(C[C@@H]2C3=CC(OC)=C(OC)C=C3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCC3=CC(OC)=C(OC)C=C3[C@H]2CC2=CC(OC)=C(OC)C=C2)C=C1
AMPHOTERICIN B,Approved Name,DTXSID9022601,Amphotericin B,C[C@H]1O[C@@H](O[C@@H]2C[C@@H]3O[C@@](O)(C[C@H](O)[C@H]3C(O)=O)C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@H](C)[C@H](O)[C@@H](C)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\2)[C@@H](O)[C@@H](N)[C@@H]1O
TOPOTECAN,Approved Name,DTXSID3042685,Topotecan,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC(O)=C(CN(C)C)C1=C3)C2=O
DACARBAZINE,Approved Name,DTXSID0020369,Dacarbazine,CN(C)N=NC1=C(NC=N1)C(N)=O
VECURONIUM BROMIDE,Approved Name,DTXSID1023736,Vecuronium bromide,[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1
Levoleucovorin Calcium,Synonym,DTXSID3045564,Calcium (6S)-folinate,[Ca++].NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1
DECITABINE,Approved Name,DTXSID7030432,Decitabine,NC1=NC(=O)N(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1
TIGECYCLINE,Approved Name,DTXSID2048581,Tigecycline,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(O)=C(NC(=O)CNC(C)(C)C)C=C4N(C)C)C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O
Zoledronic Acid,Expert Validated Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID0042668,Zoledronate,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O
Zoledronic Acid,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID10168029,Zoledronic acid monohydrate,O.OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O
Tranexamic Acid,Approved Name,DTXSID3045350,Tranexamic acid,NC[C@H]1CC[C@@H](CC1)C(O)=O
ETOPOSIDE,Approved Name,DTXSID5023035,Etoposide,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@]1([H])O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O
FOSAPREPITANT,Approved Name,DTXSID801021651,Fosaprepitant,[H]OP(=O)(O[H])N1N=C(N([H])C1=O)C([H])([H])N1C([H])([H])C([H])([H])O[C@]([H])(O[C@@]([H])(C2=C([H])C(=C([H])C(=C2[H])C(F)(F)F)C(F)(F)F)C([H])([H])[H])[C@]1([H])C1=C([H])C([H])=C(F)C([H])=C1[H]
DOCETAXEL ANHYDROUS,Synonym,DTXSID0040464,Docetaxel,[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
Dipyridamole,Approved Name,DTXSID6040668,Dipyridamole,OCCN(CCO)C1=NC(N2CCCCC2)=C2N=C(N=C(N3CCCCC3)C2=N1)N(CCO)CCO
TETRADECYL HYDROGEN SULFATE (ESTER),Searched by Synonym: Found 0 results,N/A,N/A,N/A
NELARABINE,Approved Name,DTXSID6046842,Nelarabine,COC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)C2=NC(N)=N1
IDARUBICIN HYDROCHLORIDE,Approved Name,DTXSID0047797,Idarubicin hydrochloride,Cl.C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(C=CC=C1)C3=O)C(C)=O
VALPROATE SODIUM,Synonym from Valid Source,DTXSID5037072,Sodium valproate,[Na+].CCCC(CCC)C([O-])=O
STRONTIUM CHLORIDE SR-89,Approved Name,DTXSID10191655,Strontium chloride Sr 89,Cl[89Sr]Cl
EPOPROSTENOL SODIUM,Approved Name,DTXSID3046617,Epoprostenol sodium,[Na+].CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2O\C(C[C@H]12)=C/CCCC([O-])=O
SODIUM ACETATE,Approved Name,DTXSID2027044,Sodium acetate,[Na+].CC([O-])=O
ACETAZOLAMIDE SODIUM,Approved Name,DTXSID00162031,Acetazolamide sodium,[Na+].CC(=O)NC1=NN=C(S1)S([NH-])(=O)=O
ALLOPURINOL SODIUM,Searched by Synonym: Found 0 results,N/A,N/A,N/A
FLUMAZENIL,Approved Name,DTXSID2023064,Flumazenil,CCOC(=O)C1=C2CN(C)C(=O)C3=CC(F)=CC=C3N2C=N1
ATRACURIUM BESYLATE,Approved Name,DTXSID6022630,Atracurium besylate,[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=CC=C(CC2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCC3=CC(OC)=C(OC)C=C3C2CC2=CC=C(OC)C(OC)=C2)C=C1OC
CLINDAMYCIN,Approved Name,DTXSID2022836,Clindamycin,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O
DOXERCALCIFEROL,Expert Validated Synonym,DTXSID1034214,1-Hydroxyvitamin D2,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)\C=C\[C@H](C)C(C)C
ERYTHROMYCIN LACTOBIONATE,Approved Name,DTXSID801009322,Erythromycin lactobionate,[H][C@@](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([C@H](O)CO)[C@H](O)[C@@H](O)C(O)=O.[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C
Granisetron Hydrochloride,Approved Name,DTXSID7049057,Granisetron hydrochloride,Cl.CN1N=C(C(=O)N[C@@H]2C[C@@H]3CCC[C@H](C2)N3C)C2=C1C=CC=C2
DANTROLENE SODIUM,Approved Name,DTXSID4044585,Dantrolene sodium,[Na+].[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)[N-]C1=O
vinorelbine tartrate,Approved Name,DTXSID5047825,Vinorelbine tartrate,O[C@H]([C@@H](O)C(O)=O)C(O)=O.O[C@H]([C@@H](O)C(O)=O)C(O)=O.CCC1=C[C@@H]2C[N@](C1)CC1=C(NC3=C1C=CC=C3)[C@@](C2)(C(=O)OC)C1=CC2=C(C=C1OC)N(C)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC
FLUDARABINE PHOSPHATE,Approved Name,DTXSID2023060,Fludarabine phosphate,NC1=NC(F)=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
MELPHALAN HYDROCHLORIDE,Approved Name,DTXSID60872785,Melphalan hydrochloride,Cl.N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
DACTINOMYCIN,Expert Validated Synonym,DTXSID9020031,Actinomycin D,[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C
Fludeoxyglucose F-18,Searched by Synonym: Found 0 results,N/A,N/A,N/A
DOBUTAMINE HYDROCHLORIDE,Expert Validated Synonym,DTXSID30964383,DL-Dobutamine hydrochloride,Cl.CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1
INDOMETHACIN SODIUM,Approved Name,DTXSID20227631,Indomethacin sodium,[Na+].COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC([O-])=O
PROTAMINE SULFATE,Searched by Synonym: Found 0 results,N/A,N/A,N/A
OXALIPLATIN,Approved Name,DTXSID0036760,Oxaliplatin,O=C1O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC1=O
IRINOTECAN HYDROCHLORIDE,Approved Name,DTXSID6045953,Irinotecan hydrochloride,Cl.CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12
CEFTRIAXONE SODIUM,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID5045887,Ceftriaxone disodium salt hemiheptahydrate,O.O.O.O.O.O.O.[Na+].[Na+].[Na+].[Na+].[H][C@]12SCC(CSC3=NC(=O)C(=O)[N-]N3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C([O-])=O.[H][C@]12SCC(CSC3=NC(=O)C(=O)[N-]N3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C([O-])=O
CEFTRIAXONE SODIUM,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID501019136,Ceftriaxone Sodium,[Na+].[Na+].[H][C@]12SCC(CSC3=NC(=O)C(=O)[N-]N3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C([O-])=O
Diatrizoate Sodium,Approved Name,DTXSID7022912,Diatrizoate sodium,[Na+].CC(=O)NC1=C(I)C(C([O-])=O)=C(I)C(NC(C)=O)=C1I
Etesevimab,Searched by Synonym: Found 0 results,N/A,N/A,N/A
trimetrexate glucuronate,Approved Name,DTXSID90273968,Trimetrexate glucuronate,O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O.COC1=CC(NCC2=C(C)C3=C(N)N=C(N)N=C3C=C2)=CC(OC)=C1OC
ferumoxides,Approved Name,DTXSID301027266,Ferumoxides,N/A
"Edetate disodium, anhydrous",Searched by Synonym: Found 0 results,N/A,N/A,N/A
UROKINASE,Searched by Synonym: Found 0 results,N/A,N/A,N/A
Bamlanivimab,Searched by Synonym: Found 0 results,N/A,N/A,N/A
TECHNETIUM TC-99M SODIUM PERTECHNETATE,Synonym,DTXSID30177855,Sodium pertechnetate Tc 99m,[Na+].O=[99Tc-](=O)(=O)=O
Temozolomide,Approved Name,DTXSID5043714,Temozolomide,CN1N=NC2=C(N=CN2C1=O)C(N)=O
brivaracetam,Expert Validated Synonym,DTXSID00905081,(2S)-2-((4R)-2-Oxo-4-propylpyrrolidin-1-yl)butanamide,CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1
tedizolid phosphate,Approved Name,DTXSID30234977,Tedizolid phosphate,CN1N=NC(=N1)C1=NC=C(C=C1)C1=C(F)C=C(C=C1)N1C[C@H](COP(O)(O)=O)OC1=O
delafloxacin meglumine,Approved Name,DTXSID90188740,Delafloxacin meglumine,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.NC1=NC(N2C=C(C(O)=O)C(=O)C3=CC(F)=C(N4CC(O)C4)C(Cl)=C23)=C(F)C=C1F
POSACONAZOLE; posaconazole,Searched by Synonym: Found 0 results,N/A,N/A,N/A
SELEXIPAG,Approved Name,DTXSID301027959,Selexipag,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)C1=NC(C2=CC=CC=C2)=C(N=C1)C1=CC=CC=C1
LACOSAMIDE,Approved Name,DTXSID1057666,Lacosamide,COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1
LETERMOVIR,Approved Name,DTXSID40238683,Letermovir,COC1=CC=CC(=C1)N1CCN(CC1)C1=NC2=C(C=CC=C2F)[C@H](CC(O)=O)N1C1=C(OC)C=CC(=C1)C(F)(F)F
omadacycline,Approved Name,DTXSID201027687,Omadacycline,[H][C@@]12CC3=C(C=C(CNCC(C)(C)C)C(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2)N(C)C
trovafloxacin mesylate,Approved Name,DTXSID0045701,Trovafloxacin mesylate,CS(O)(=O)=O.[H][C@@]12CN(C[C@]1([H])[C@H]2N)C1=C(F)C=C2C(=O)C(=CN(C3=CC=C(F)C=C3F)C2=N1)C(O)=O
TECHNETIUM TC-99M SULFUR COLLOID,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID401027188,Technetium Tc 99m sulfur colloid,N/A
TECHNETIUM TC-99M SULFUR COLLOID,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID9034941,Sulfur,[S]
HEPARIN SODIUM,Approved Name,DTXSID301010914,Heparin sodium,N/A
bortezomib,Approved Name,DTXSID3040980,Bortezomib,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=NC=CN=C1)B(O)O
AZACITIDINE,Synonym from Valid Source,DTXSID9020116,5-Azacytidine,NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
OCTREOTIDE ACETATE,Approved Name,DTXSID901027488,Octreotide acetate,N/A
Dimethyl Sulfoxide,Approved Name,DTXSID2021735,Dimethyl sulfoxide,CS(C)=O
HEXAMINOLEVULINATE HYDROCHLORIDE,Approved Name,DTXSID80161486,Hexaminolevulinate hydrochloride,Cl.CCCCCCOC(=O)CCC(=O)CN
diatrizoate meglumine,Approved Name,DTXSID20897171,Diatrizoate meglumine,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I
VALRUBICIN,Approved Name,DTXSID9046497,Valrubicin,[H][C@@]1(C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O1)O[C@H]1C[C@@](O)(CC2=C1C(O)=C1C(=O)C3=C(C=CC=C3OC)C(=O)C1=C2O)C(=O)COC(=O)CCCC
ISAVUCONAZONIUM SULFATE,Approved Name,DTXSID901026216,Isavuconazonium sulfate,OS([O-])(=O)=O.CNCC(=O)OCC1=C(N=CC=C1)N(C)C(=O)OC(C)[N+]1=CN(CC(O)([C@@H](C)C2=NC(=CS2)C2=CC=C(C=C2)C#N)C2=C(F)C=CC(F)=C2)N=C1
TIPRANAVIR,Approved Name,DTXSID6048622,Tipranavir,CCC[C@@]1(CCC2=CC=CC=C2)CC(O)=C([C@H](CC)C2=CC=CC(NS(=O)(=O)C3=CC=C(C=N3)C(F)(F)F)=C2)C(=O)O1
METYRAPONE,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID1023314,Metyrapone,CC(C)(C(=O)C1=CN=CC=C1)C1=CN=CC=C1
METYRAPONE,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID4042672,Fe +2 ion,[Fe++]
GLYCEROL PHENYLBUTYRATE,Approved Name,DTXSID40210005,Glycerol phenylbutyrate,O=C(CCCC1=CC=CC=C1)OCC(COC(=O)CCCC1=CC=CC=C1)OC(=O)CCCC1=CC=CC=C1
macitentan,Approved Name,DTXSID50196063,Macitentan,CCCNS(=O)(=O)NC1=C(C(OCCOC2=NC=C(Br)C=N2)=NC=N1)C1=CC=C(Br)C=C1
saxagliptin hydrochloride,Approved Name,DTXSID50991191,Saxagliptin hydrochloride,Cl.N[C@H](C(=O)N1[C@H]2C[C@H]2C[C@H]1C#N)C12CC3CC(CC(O)(C3)C1)C2
FIDAXOMICIN,Approved Name,DTXSID901016415,Fidaxomicin,[H][C@@]1(O[C@@H]2[C@@H](CC)\C=C(C)\[C@@H](O)C\C=C\C=C(CO[C@@H]3O[C@H](C)[C@@H](OC(=O)C4=C(CC)C(Cl)=C(O)C(Cl)=C4O)[C@H](O)[C@@H]3OC)\C(=O)O[C@@H](C\C=C(/C)\C=C2/C)[C@@H](C)O)OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]1O
PITOLISANT HYDROCHLORIDE,Expert Validated Synonym,DTXSID50238098,Ciproxidine,Cl.ClC1=CC=C(CCCOCCCN2CCCCC2)C=C1
SAFINAMIDE MESYLATE,Approved Name,DTXSID80942414,Safinamide mesylate,CS(O)(=O)=O.C[C@H](NCC1=CC=C(OCC2=CC=CC(F)=C2)C=C1)C(N)=O
PEXIDARTINIB HYDROCHLORIDE,Approved Name,DTXSID001026483,Pexidartinib hydrochloride,Cl.FC(F)(F)C1=NC=C(CNC2=CC=C(CC3=CNC4=C3C=C(Cl)C=N4)C=N2)C=C1
VANDETANIB,Approved Name,DTXSID1046681,Vandetanib,COC1=CC2=C(NC3=CC=C(Br)C=C3F)N=CN=C2C=C1OCC1CCN(C)CC1
IDELALISIB,Approved Name,DTXSID701007266,Idelalisib,CC[C@H](NC1=NC=NC2=C1N=CN2)C1=NC2=CC=CC(F)=C2C(=O)N1C1=CC=CC=C1
BENZNIDAZOLE,Approved Name,DTXSID9046570,Benznidazole,[O-][N+](=O)C1=NC=CN1CC(=O)NCC1=CC=CC=C1
OLSALAZINE SODIUM,Approved Name,DTXSID3046796,Olsalazine sodium,[Na+].[Na+].OC1=CC=C(C=C1C([O-])=O)N=NC1=CC=C(O)C(=C1)C([O-])=O
PEMIGATINIB,Approved Name,DTXSID501027955,Pemigatinib,CCN1C(=O)N(CC2=C1C1=C(NC(CN3CCOCC3)=C1)N=C2)C1=C(F)C(OC)=CC(OC)=C1F
